Station,TotPop,AutoOwn0,TotEmp,Tot Rd Dens
12TH,11084,1664,33120,42.23265743
16TH,142973,20505,103479,32.29676222
19TH,36177,4704,47570,31.82263126
24TH,104191,8018,39663,32.89420302
ANTC,70630,1142,13924,20.53143113
ASHB,47031,2693,19304,30.45688761
BALB,123382,3871,16384,29.80214867
BAYF,92905,1949,21128,24.24393717
CAST,61232,1276,11796,20.00018321
CIVC,125375,32395,113812,32.94462153
COLM,58683,1272,10580,27.03710027
COLS,80369,3805,12904,26.516345
CONC,98534,2651,47406,22.69307867
DALY,89178,3761,20344,31.29699216
DBRK,50383,4784,28318,28.6982556
DELN,53456,1454,8027,24.47947954
DUBL,67474,844,53934,23.06104352
EMBR,25970,5383,181995,40.15369241
FRMT,116543,2512,34237,22.7754898
FTVL,139515,6211,28772,27.71467783
GLEN,107868,5164,21044,32.46048653
HAYW,87217,1877,23414,24.76560648
LAFY,35785,412,11766,13.45187536
LAKE,78376,5194,30987,28.78596213
MCAR,29222,2891,23981,31.29558661
MLBR,53160,1120,47098,24.09026271
MONT,34689,9443,148355,38.90683004
NBRK,37649,2202,27209,28.60792003
OAKL,17605,237,45522,20.03076984
ORIN,23534,334,5417,13.72252896
PCTR,52570,1186,12431,20.97161906
PHIL,71478,1729,44773,22.46657628
PITT,45490,680,2577,16.94562834
PLZA,40792,859,10002,28.2177547
POWL,51122,16059,61815,36.30667211
RICH,90809,2883,20338,27.4523036
ROCK,51943,1600,15144,26.08027984
SANL,86797,2627,30476,25.18596549
SBRN,55448,1288,64355,27.24635743
SFIA,6743,162,8855,18.03904495
SHAY,78530,914,30530,21.32124012
SSAN,80902,1117,23895,25.19029843
UCTY,106723,1585,28088,25.01502467
WARM,58684,385,8763,22.53652099
WCRK,50146,1759,40253,16.79451435
WDUB,55407,654,31120,21.50017309
WOAK,17677,1586,18520,32.39075447
NCON,15584,137,14536,18.93384157
BERY,235990,6271,150909,28.04836915
MLPT,115789,1499,113651,26.27106003